shelfname|interface|portoperationalstate|protocol|info1
BAL4MU|100GE3/1/0|up|up|Enlace 100G DWDM MUN1NA_G0/19/0/1 Linea:15007833 - UPLINK NA
BAL4MU|100GE4/1/0|up|up|Enlace 100G DWDM BEL1NA_G0/19/0/1 Linea:15007832 - UPLINK NA
BAL4MU|Eth-Trunk15|up|down|[ACCESO HSI][VI] BALD1D L 9702990
BAL4MU|Eth-Trunk15.2101|up|up|[GESTION] BALD1D ZTE 9800 [ADS2]
BAL4MU|Eth-Trunk15.3101|up|up|[TOIP] BALD1D ZTE 9800 [ADS2]
BAL4MU|Eth-Trunk15.3620|up|up|VPN GOLD - DIA ARGENTINA S.A. - Ref:308859 Lin:2738269 Acc:BALD1D 1/17/05
BAL4MU|Eth-Trunk15.3633|up|up|VPN Branch Office - Correo Argentino - Ref: 534562 Lin: 2754030 Acc: BALD1D 17/18
BAL4MU|Eth-Trunk15.3648|up|up|Vpn Gold - ICBC - Ref:640445 - Acc:BALD1D - 16 - 01/02
BAL4MU|Eth-Trunk15.3662|up|up|LDIP_TASA - BAPRO - REF: 647211 - LINEA: 2795462 - ACC: BALD1D-16-15y16
BAL4MU|Eth-Trunk15.3682|up|up|DDEIP - ANTIGUA FARMACIA DEL AGUILA - REF:648822 LIN:2796677 - ACC:BALD1D 1-15-03/04
BAL4MU|Eth-Trunk15.3692|up|up|DDEIP - ROSMINO Y CIA S.C.A. REF:662473 LIN: - ACC:BALD1D/0/15/13
BAL4MU|Eth-Trunk15.3696|up|up|VPN Gold - Banco Galicia - Ref:82282 - Acc:BALD1D-15-17/18
BAL4MU|Eth-Trunk15.3813|up|up|Integra Gold 1M - GROMANTI S.A - Ref:528906 Lin:2746445 Acc:BALD1D 00/17/6
BAL4MU|Eth-Trunk15.3818|up|up|INTEGRA LIGHT - DECOM TECHNOLOGY CORP. S.A - REF:535229 LIN:2749574 Acc:BALD1D 00/17/11 Y 12
BAL4MU|Eth-Trunk15.3826|up|up|Integra Light - PROPEL S.A.C.I.E.I. - Ref:531919 Lin:2747863 Acc:BALD1D 00/17/19-20
BAL4MU|Eth-Trunk15.3840|up|up|Gestion C888 - ICBC - Ref:640445 - Acc:BALD1D-16-01/02
BAL4MU|Eth-Trunk15.3892|up|up|Integra Light - CASA LUQUE SRL - Ref:673026 - Lin:2811214 - Acc: BALD1D 1-15-21/22
BAL4MU|Eth-Trunk15.3900|up|up|INTEGRA LIGHT_SPORT S LIFE_Ref.717447_Lin:2824971 - Acc:BALD1D 1-15-29/30
BAL4MU|Eth-Trunk15.4101|up|up|[DATOS] BALD1D ZTE 9800 [ADS2][L2]
BAL4MU|Eth-Trunk16|down|down|[ACCESO HSI][VI] BALM01 L 15003445
BAL4MU|GE0/0/0|down|down|
BAL4MU|GE1/1/0|down|down|
BAL4MU|GE1/1/1|down|down|
BAL4MU|GE1/1/2|down|down|
BAL4MU|GE1/1/3|down|down|
BAL4MU|GE1/1/4|down|down|
BAL4MU|GE1/1/5|down|down|
BAL4MU|GE1/1/6|down|down|
BAL4MU|GE1/1/7|down|down|
BAL4MU|GE1/1/8|down|down|
BAL4MU|GE1/1/9|down|down|
BAL4MU|GE1/1/10|down|down|
BAL4MU|GE1/1/11|down|down|
BAL4MU|GE1/1/12|down|down|
BAL4MU|GE1/1/13|down|down|
BAL4MU|GE1/1/14|down|down|
BAL4MU|GE1/1/15|down|down|
BAL4MU|GE1/1/16|down|down|
BAL4MU|GE1/1/17|down|down|
BAL4MU|GE1/1/18|down|down|
BAL4MU|GE1/1/19|down|down|
BAL4MU|GE1/1/20|down|down|
BAL4MU|GE1/1/21|down|down|
BAL4MU|GE1/1/22|down|down|
BAL4MU|GE1/1/23|down|down|
BAL4MU|GE3/0/2(10G)|up|down|ADSL BALM01 - 15003445
BAL4MU|GE3/0/2.6|up|up|IPTV BALM01 IGMP-PIM
BAL4MU|GE3/0/2.7|up|up|[DHCP] [IPTV] BALM01 HUA 5600T [GPON]
BAL4MU|GE3/0/2.10|up|up|[DATOS] BALM01 10 HUA 5600_T [GPON][L3]
BAL4MU|GE3/0/2.11|up|up|[DATOS] BALM01 20 ECI HIFS [VDS2][L3]
BAL4MU|GE3/0/2.12|up|up|[DATOS] BALM01 30 HUA 5600_T [GPON][L3]
BAL4MU|GE3/0/2.2101|up|up|[GESTION] BALM01 HUA HUA 5600_T [GPON]
BAL4MU|GE3/0/2.3101|up|up|[TOIP] BALM01 HUA 5600_T [GPON]
BAL4MU|GE3/0/2.4101|up|up|[DATOS] BALM01 HUA 5600_T [GPON][L3]
BAL4MU|GE3/0/3(10G)|down|down|
BAL4MU|GE4/0/1(10G)|down|down|
BAL4MU|GE8/0/0|up|down|[ACCESO HSI][VI] VB5G01 XXXXXXX
BAL4MU|GE8/0/0.2|up|up|[SIGN] VB5G01 ZTE 5200 [NGN]
BAL4MU|GE8/0/0.3|up|up|[RTP] VB5G01 ZTE 5200 [NGN]
BAL4MU|GE8/0/0.4|up|up|[GESTION] VB5G01 ZTE 5200 [NGN]
BAL4MU|GE8/0/0.3101|up|up|[TOIP] VB5G01 ZTE 5200 [ADS2]


